[2024-12-05 01:41:46,341]    INFO - Request: 'GET /api/v1/profiles/ HTTP/1.1' 200 320 B 114.9 ms
[2024-12-05 01:41:47,433]    INFO - Request: 'GET /api/v1/profiles/ HTTP/1.1' 403 63 B 2.0 ms
[2024-12-05 01:41:47,435]    WARNING - Forbidden: /api/v1/profiles/
[2024-12-05 01:41:47,451]    INFO - Request: 'GET /api/v1/profiles/ HTTP/1.1' 401 58 B 2.0 ms
[2024-12-05 01:41:47,452]    WARNING - Unauthorized: /api/v1/profiles/
[2024-12-05 01:42:47,773]    INFO - Request: 'GET /api/v1/profiles/ HTTP/1.1' 200 306 B 35.9 ms
[2024-12-05 01:42:48,051]    INFO - Request: 'GET /api/v1/profiles/ HTTP/1.1' 403 63 B 2.0 ms
[2024-12-05 01:42:48,052]    WARNING - Forbidden: /api/v1/profiles/
[2024-12-05 01:42:48,061]    INFO - Request: 'GET /api/v1/profiles/ HTTP/1.1' 401 58 B 2.0 ms
[2024-12-05 01:42:48,063]    WARNING - Unauthorized: /api/v1/profiles/
[2024-12-05 01:56:28,191]    INFO - Request: 'GET /api/v1/random/anime/ HTTP/1.1' 200 357 B 41.2 ms
[2024-12-05 01:56:28,203]    INFO - Request: 'GET /api/v1/random/anime/ HTTP/1.1' 404 40 B 3.0 ms
[2024-12-05 01:56:28,204]    WARNING - Not Found: /api/v1/random/anime/
[2024-12-05 01:56:28,634]    INFO - Request: 'GET /api/v1/random/manga/ HTTP/1.1' 200 263 B 6.0 ms
[2024-12-05 01:56:28,896]    INFO - Request: 'GET /api/v1/random/character/ HTTP/1.1' 200 401 B 4.6 ms
[2024-12-05 01:56:28,916]    INFO - Request: 'GET /api/v1/random/person/ HTTP/1.1' 200 571 B 5.6 ms
[2024-12-05 01:57:30,618]    INFO - Request: 'GET /api/v1/random/anime/ HTTP/1.1' 200 353 B 50.8 ms
[2024-12-05 01:57:30,634]    INFO - Request: 'GET /api/v1/random/anime/ HTTP/1.1' 404 40 B 5.0 ms
[2024-12-05 01:57:30,634]    WARNING - Not Found: /api/v1/random/anime/
[2024-12-05 01:57:30,800]    INFO - Request: 'GET /api/v1/random/manga/ HTTP/1.1' 200 313 B 7.1 ms
[2024-12-05 01:57:31,035]    INFO - Request: 'GET /api/v1/random/character/ HTTP/1.1' 200 390 B 5.0 ms
[2024-12-05 01:57:31,203]    INFO - Request: 'GET /api/v1/random/person/ HTTP/1.1' 200 679 B 6.0 ms
[2024-12-05 01:58:36,002]    INFO - Request: 'GET /api/v1/random/anime/ HTTP/1.1' 200 326 B 50.5 ms
[2024-12-05 01:58:36,017]    INFO - Request: 'GET /api/v1/random/anime/ HTTP/1.1' 404 40 B 4.6 ms
[2024-12-05 01:58:36,018]    WARNING - Not Found: /api/v1/random/anime/
[2024-12-05 01:58:36,188]    INFO - Request: 'GET /api/v1/random/manga/ HTTP/1.1' 200 299 B 6.1 ms
[2024-12-05 01:58:36,443]    INFO - Request: 'GET /api/v1/random/character/ HTTP/1.1' 200 425 B 5.0 ms
[2024-12-05 01:58:36,472]    INFO - Request: 'GET /api/v1/random/person/ HTTP/1.1' 200 660 B 10.1 ms
[2024-12-05 01:59:38,673]    INFO - Request: 'GET /api/v1/random/anime/ HTTP/1.1' 200 371 B 41.7 ms
[2024-12-05 01:59:38,688]    INFO - Request: 'GET /api/v1/random/anime/ HTTP/1.1' 404 40 B 5.5 ms
[2024-12-05 01:59:38,688]    WARNING - Not Found: /api/v1/random/anime/
[2024-12-05 01:59:38,826]    INFO - Request: 'GET /api/v1/random/manga/ HTTP/1.1' 200 285 B 6.5 ms
[2024-12-05 01:59:38,838]    INFO - Request: 'GET /api/v1/random/manga/ HTTP/1.1' 404 40 B 5.5 ms
[2024-12-05 01:59:38,838]    WARNING - Not Found: /api/v1/random/manga/
[2024-12-05 01:59:39,267]    INFO - Request: 'GET /api/v1/random/character/ HTTP/1.1' 200 358 B 5.6 ms
[2024-12-05 01:59:39,289]    INFO - Request: 'GET /api/v1/random/person/ HTTP/1.1' 200 722 B 7.6 ms
[2024-12-05 02:00:58,223]    INFO - Request: 'GET /api/v1/random/anime/ HTTP/1.1' 200 343 B 43.8 ms
[2024-12-05 02:00:58,238]    INFO - Request: 'GET /api/v1/random/anime/ HTTP/1.1' 404 40 B 4.5 ms
[2024-12-05 02:00:58,238]    WARNING - Not Found: /api/v1/random/anime/
[2024-12-05 02:00:58,525]    INFO - Request: 'GET /api/v1/random/manga/ HTTP/1.1' 200 294 B 15.6 ms
[2024-12-05 02:00:58,561]    INFO - Request: 'GET /api/v1/random/manga/ HTTP/1.1' 404 40 B 12.9 ms
[2024-12-05 02:00:58,562]    WARNING - Not Found: /api/v1/random/manga/
[2024-12-05 02:00:59,078]    INFO - Request: 'GET /api/v1/random/character/ HTTP/1.1' 200 308 B 11.5 ms
[2024-12-05 02:00:59,095]    INFO - Request: 'GET /api/v1/random/character/ HTTP/1.1' 404 40 B 3.0 ms
[2024-12-05 02:00:59,096]    WARNING - Not Found: /api/v1/random/character/
[2024-12-05 02:00:59,127]    INFO - Request: 'GET /api/v1/random/person/ HTTP/1.1' 200 660 B 13.0 ms
